Question No.,Name,Solution Link,Difficulty,Tags,Discuss Link
145,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/description/,Hard,Tree / Stack,https://discuss.leetcode.com/topic/107713/c-iterative-recursive-solutions
146,LRU Cache,https://leetcode.com/problems/lru-cache/description/,Hard,Design,https://discuss.leetcode.com/topic/109805/concise-c-82ms-hash-table-deque-solution
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/description/,Medium,String,https://discuss.leetcode.com/topic/102920/c-o-1-space
155,Min Stack,https://leetcode.com/problems/min-stack/description/,Easy,Stack / Design,https://discuss.leetcode.com/topic/105788/8-lines-c
157,Read N Characters Given Read4,https://leetcode.com/problems/read-n-characters-given-read4/description/,Easy,String,https://discuss.leetcode.com/topic/99943/6-lines-c
158,Read N Characters Given Read4 II - Call multiple times,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times/description/,Hard,String,https://discuss.leetcode.com/topic/99964/11-lines-c
159,Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/description/,Hard,String / Two Pointers,https://discuss.leetcode.com/topic/108306/c-two-pointers-unordered_set
161,One Edit Distance,https://leetcode.com/problems/one-edit-distance/description/,Medium,String,https://discuss.leetcode.com/topic/99986/3ms-c-o-n-easy-to-understand
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,Medium,Binary Search,https://leetcode.com/problems/find-peak-element/discuss/198516/C++-binary-search-easy-to-understand
163,Missing Ranges,https://leetcode.com/problems/missing-ranges/description/,Medium,Array,https://discuss.leetcode.com/topic/105592/my-0ms-c
168,Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/description/,Easy,Math,https://discuss.leetcode.com/topic/101242/my-clean-c-solution
169,Majority Element,https://leetcode.com/problems/majority-element/description/,Easy,Array,https://discuss.leetcode.com/topic/85909/c-2-lines-o-n-space-and-8-lines-o-1-space-boyer-moore-solutions
171,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/description/,Easy,Math,https://leetcode.com/problems/excel-sheet-column-number/discuss/134153/6-lines-C++
173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/description/,Medium,Tree / Stack / Design,https://discuss.leetcode.com/topic/101246/short-c-o-n-o-h-space-solutions
191,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/description/,Easy,Bit Manipulation,https://discuss.leetcode.com/topic/85894/6-lines-c
198,House Robber,https://leetcode.com/problems/house-robber/description/,Easy,Dynamic Programming,https://discuss.leetcode.com/topic/109111/7-lines-c-dp
