Question No.,Name,Problem Link,C++ Solution Link,Python Solution Link,Status,Category,Difficulty,Basic Idea,Section,Time Complexity,Space Complexity,Premium,Tags
583,Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings/,https://github.com/astromanish/CP/blob/master/final_solution/0583.%20Delete%20Operation%20for%20Two%20Strings/0583.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0583.%20Delete%20Operation%20for%20Two%20Strings/0583.py,Not started,Dynamic Programming,Medium,,Dynamic Programming,,,,
271,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,https://github.com/astromanish/CP/blob/master/final_solution/0271.%20Encode%20and%20Decode%20Strings/0271.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0271.%20Encode%20and%20Decode%20Strings/0271.py,Not started,String / Design,Medium,,String,,,,
451,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency/,https://github.com/astromanish/CP/blob/master/final_solution/0451.%20Sort%20Characters%20By%20Frequency/0451.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0451.%20Sort%20Characters%20By%20Frequency/0451.py,Not started,Hash Table / Heap,Medium,,Hash Table,,,,
515,Find Largest Value in Each Tree Row,https://leetcode.com/problems/find-largest-value-in-each-tree-row/,https://github.com/astromanish/CP/blob/master/final_solution/0515.%20Find%20Largest%20Value%20in%20Each%20Tree%20Row/0515.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0515.%20Find%20Largest%20Value%20in%20Each%20Tree%20Row/0515.py,Not started,Tree / BFS / DFS,Medium,,Tree,,,,
309,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,https://github.com/astromanish/CP/blob/master/final_solution/0309.%20Best%20Time%20to%20Buy%20and%20Sell%20Stock%20with%20Cooldown/0309.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0309.%20Best%20Time%20to%20Buy%20and%20Sell%20Stock%20with%20Cooldown/0309.py,Not started,Dynamic Programming,Medium,,Dynamic Programming,,,,
221,Maximal Square,https://leetcode.com/problems/maximal-square/,https://github.com/astromanish/CP/blob/master/final_solution/0221.%20Maximal%20Square/0221.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0221.%20Maximal%20Square/0221.py,Not started,Dynamic Programming / BFS,Medium,,Dynamic Programming,,,,
791,Custom Sort String,https://leetcode.com/problems/custom-sort-string/,https://github.com/astromanish/CP/blob/master/final_solution/0791.%20Custom%20Sort%20String/0791.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0791.%20Custom%20Sort%20String/0791.py,Not started,String,Medium,,String,,,,
639,Decode Ways II,https://leetcode.com/problems/decode-ways-ii/,https://github.com/astromanish/CP/blob/master/final_solution/0639.%20Decode%20Ways%20II/0639.cpp,,Not started,Dynamic Programming,Hard,,Dynamic Programming,,,,
803,Bricks Falling When Hit,https://leetcode.com/problems/bricks-falling-when-hit/,https://github.com/astromanish/CP/blob/master/final_solution/0803.%20Bricks%20Falling%20When%20Hit/0803.cpp,,Not started,Union Find,Hard,,Union Find,,,,
336,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs/,https://github.com/astromanish/CP/blob/master/final_solution/0336.%20Palindrome%20Pairs/0336.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0336.%20Palindrome%20Pairs/0336.py,Not started,Hash Table / String / Trie,Hard,"1. Create a reverse word to index map, then for each word, check prefix and posfix, O(nk^2) and O(n)<br>2. Tire tree, O(nk^2) and O(n)",Hash Table,,,,
315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,https://github.com/astromanish/CP/blob/master/final_solution/0315.%20Count%20of%20Smaller%20Numbers%20After%20Self/0315.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0315.%20Count%20of%20Smaller%20Numbers%20After%20Self/0315.py,Not started,Divide and Conqur / Binary Search Tree,Hard,,Divide and Conquer,,,,
411,Minimum Unique Word Abbreviation,https://leetcode.com/problems/minimum-unique-word-abbreviation/,https://github.com/astromanish/CP/blob/master/final_solution/0411.%20Minimum%20Unique%20Word%20Abbreviation/0411.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0411.%20Minimum%20Unique%20Word%20Abbreviation/0411.py,Not started,Backtracking,Hard,,Backtracking,,,,
272,Closest Binary Search Tree Value II,https://leetcode.com/problems/closest-binary-search-tree-value-ii/,https://github.com/astromanish/CP/blob/master/final_solution/0272.%20Closest%20Binary%20Search%20Tree%20Value%20II/0272.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0272.%20Closest%20Binary%20Search%20Tree%20Value%20II/0272.py,Not started,Tree / Stack,Hard,,Tree,,,,
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,https://github.com/astromanish/CP/blob/master/final_solution/0295.%20Find%20Median%20from%20Data%20Stream/0295.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0295.%20Find%20Median%20from%20Data%20Stream/0295.py,Not started,Heap / Design,Hard,,Binary Heap,,,,
282,Expression Add Operators,https://leetcode.com/problems/expression-add-operators/,https://github.com/astromanish/CP/blob/master/final_solution/0282.%20Expression%20Add%20Operators/0282.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0282.%20Expression%20Add%20Operators/0282.py,Not started,Divide and Conquer,Hard,,Divide and Conquer,,,,
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,https://github.com/astromanish/CP/blob/master/final_solution/0273.%20Integer%20to%20English%20Words/0273.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0273.%20Integer%20to%20English%20Words/0273.py,Not started,String,Hard,"Careful about corner cases, such 1-20 and 21-Hundred, O(lgn) and O(1)",String,,,,
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,https://github.com/astromanish/CP/blob/master/final_solution/0124.%20Binary%20Tree%20Maximum%20Path%20Sum/0124.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0124.%20Binary%20Tree%20Maximum%20Path%20Sum/0124.py,Not started,Tree / DFS,Hard,"Recursion O(n) and O(n), max (left + node, right + node, left + node + right)",Tree,,,,
