Question No.,Name,Problem Link,C++ Solution Link,Python Solution Link,Status,Category,Difficulty,Basic Idea,Section,Time Complexity,Space Complexity,Premium,Tags
840,Magic Squares In Grid,https://leetcode.com/problems/magic-squares-in-grid/,https://github.com/astromanish/CP/blob/master/final_solution/0840.%20Magic%20Squares%20In%20Grid/0840.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0840.%20Magic%20Squares%20In%20Grid/0840.py,Not started,,Easy,,,,,,nan
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://github.com/astromanish/CP/blob/master/final_solution/0121.%20Best%20Time%20to%20Buy%20and%20Sell%20Stock/0121.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0121.%20Best%20Time%20to%20Buy%20and%20Sell%20Stock/0121.py,Done,Array / Dynamic Programming,Easy,,Array,,,,Array / Dynamic Programming
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,https://github.com/astromanish/CP/blob/master/final_solution/0021.%20Merge%20Two%20Sorted%20Lists/0021.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0021.%20Merge%20Two%20Sorted%20Lists/0021.py,Done,,Easy,"Add a dummy head, then merge two sorted list in O(m+n)",,,,,nan
500,Keyboard Row,https://leetcode.com/problems/keyboard-row/,https://github.com/astromanish/CP/blob/master/final_solution/0500.%20Keyboard%20Row/0500.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0500.%20Keyboard%20Row/0500.py,Not started,,Easy,,,,,,nan
167,Two Sum II - Input array is sorted,https://leetcode.com/problems/two-sum-ii---input-array-is-sorted/,https://github.com/astromanish/CP/blob/master/final_solution/0167.%20Two%20Sum%20II%20-%20Input%20array%20is%20sorted/0167.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0167.%20Two%20Sum%20II%20-%20Input%20array%20is%20sorted/0167.py,Not started,,Easy,Two points O(n) and O(1),,,,,nan
751,IP to CIDR,https://leetcode.com/problems/ip-to-cidr/,https://github.com/astromanish/CP/blob/master/final_solution/0751.%20IP%20to%20CIDR/0751.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0751.%20IP%20to%20CIDR/0751.py,Not started,,Easy,,,,,,nan
414,Third Maximum Number,https://leetcode.com/problems/third-maximum-number/,https://github.com/astromanish/CP/blob/master/final_solution/0414.%20Third%20Maximum%20Number/0414.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0414.%20Third%20Maximum%20Number/0414.py,Not started,,Easy,"1. Keep max 1-3 then compare, O(n) and O(1)<br>2. PriorityQueue, O(n) and O(1)",,,,,nan
492,Construct the Rectangle,https://leetcode.com/problems/construct-the-rectangle/,https://github.com/astromanish/CP/blob/master/final_solution/0492.%20Construct%20the%20Rectangle/0492.cpp,,Not started,,Easy,,,,,,nan
293,Flip Game,https://leetcode.com/problems/flip-game/,https://github.com/astromanish/CP/blob/master/final_solution/0293.%20Flip%20Game/0293.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0293.%20Flip%20Game/0293.py,Not started,String,Easy,,String,,,,String
997,Find the Town Judge,https://leetcode.com/problems/find-the-town-judge/,https://github.com/astromanish/CP/blob/master/final_solution/0997.%20Find%20the%20Town%20Judge/0997.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0997.%20Find%20the%20Town%20Judge/0997.py,Not started,,Easy,,,,,,nan
