Question No.,Name,Title Link,Basic Idea
143,Reorder List,https://leetcode.com/problems/reorder-list/,"1. List as index to rebuild relation, O(n) and O(n)<br>2. Two points, O(n) and O(1)"
144,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,"1. Recursion, O(n) and O(n)<br>2. Stack, O(n) and O(n)"
145,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,"1. Recursion, O(n) and O(n)<br>2. Stack and queue (insert 0), O(n) and O(n)<br>3. Stack and isinstance(curr, TreeNode), O(n) and O(n)"
146,LRU Cache,https://leetcode.com/problems/lru-cache/,1. Queue and dict<br>2. OrderedDict
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Stack
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,"DP, f(k) = max(f(k-1) * A[k], A[k], g(k-1) * A[k]), g(k) = min(g(k-1) * A[k], A[k], f(k-1) * A[k]), O(n) and O(1)"
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,"Binary search with conditions, A[l] > A[r]"
154,Find Minimum in Rotated Sorted Array II,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,"Binary search with conditions, A[l] > A[r], A[l]=A[mid]=A[r]"
155,Min Stack,https://leetcode.com/problems/min-stack/,"Add another stack for min stack, maintance this stack when the main stack pop or push: 1. Only push min, such that len(minStack)<=len(Stack) 2. Push min again when current top is min, such that len(minStack)=len(Stack)"
166,Fraction to Recurring Decimal,https://leetcode.com/problems/fraction-to-recurring-decimal/,% and Hash to find duplicate
167,Two Sum II - Input array is sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Two points O(n) and O(1)
179,Largest Number,https://leetcode.com/problems/largest-number/,"Define a comparator with str(x) + str(y) > str(y) + str(x), O(nlgn) and O(n)"
198,House Robber,https://leetcode.com/problems/house-robber/,"f(k) = max(f(k – 2) + num[k], f(k – 1)), O(n) and O(1)"
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,"1. Quick union find, O(nlogn) and O(n^2)<br>2. BFS with marks, O(n^2) and O(1)"
204,Count Primes,https://leetcode.com/problems/count-primes/,"[Sieve of Eratosthenes](https://en.wikipedia.org/wiki/Sieve_of_Eratosthenes#Algorithm_complexity), O(nloglogn) and O(n)"
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,"1. Stack, O(n) and O(n)<br>2. Traverse on prev and curr, then curr.next = prev, O(n) and O(1)<br>3. Recursion, O(n) and O(1)"
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Cycle detection problem
219,Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii/,"1. Brute force<br> 2. Maintenance a set that contains previous k numbers, and check if curr in set"
220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii/,1. Sort and binary Search <br>2. Bucket sort
223,Rectangle Area,https://leetcode.com/problems/rectangle-area/,"Rectangle A + B - common area, O(1) and O(1)"
